portfolio_id	target_return	realized_return	risk	alloc_AAPL	alloc_AMZN	alloc_GOOGL	alloc_META	alloc_MSFT	alloc_NVDA
35	0.03762871878542131	0.03762871874340688	0.058804569738601584	0.29087621567475586	0.06181321580971974	0.2430971172970417	0.08919022810576802	0.0009164488751118305	0.3141067742376029
36	0.03810575641688933	0.03810575648026894	0.05948604542795907	0.2808566401543901	0.06398730430910556	0.24023590347204968	0.09484157860843048	2.775557561562892e-17	0.32007857345602425
37	0.03858279404835736	0.03858279411819012	0.060190755343068586	0.2701718511472259	0.06648843424679589	0.23671201663843147	0.10091044228064304	0.0	0.3257172556869038
38	0.03905983167982538	0.039059831688957686	0.060916819704412185	0.2597818031004181	0.06876991808405189	0.23312379802974612	0.10681803861207571	0.0	0.33150644217370817
39	0.03953686931129341	0.03953686934602372	0.06166258764129221	0.2496627491555608	0.0708493494955294	0.22947657667676405	0.11257725849582523	0.0	0.33743406617632055
40	0.040013906942761426	0.04001390692783186	0.062426594290011565	0.2397934191380422	0.0727425079724467	0.2257751233663291	0.118199630430402	0.0	0.34348931909278
41	0.04049094457422946	0.0404909445429701	0.06320753481453005	0.23015467762531777	0.07446357875697351	0.22202371193632103	0.12369556648471616	0.0	0.34966246519667166
42	0.04096798220569748	0.04096798219260751	0.06400424155513486	0.2207293225293892	0.07602533934218089	0.21822617323842927	0.1290744086418919	2.7755575615628914e-17	0.3559447562481088
43	0.0414450198371655	0.04144501980675937	0.06481566547448407	0.2115017624271236	0.07743935672110852	0.214385988414089	0.13434463426227275	1.3877787807814457e-17	0.3623282581754061
44	0.04192205746863353	0.04192205746295377	0.0656408609216283	0.20245790137503822	0.07871612422749244	0.21050624768764617	0.13951394668246464	0.0	0.36880578002735864
45	0.04239909510010155	0.04239909508946603	0.0664789716566519	0.19358494140711005	0.0798651522412349	0.20658979066036173	0.14458931133339853	2.7755575615628914e-17	0.3753708043578948
